id;derived_value;variable_value;eff_dt
1;false;Towels Licensed Wooden Shirt;2020-12-06T11:04:06
2;false;Customizable Awesome capacitor;2020-12-05T21:39:56
3;false;repurpose Wooden Personal Loan Account;2020-12-05T19:15:50
4;false;exploit;2020-12-06T08:45:37
5;true;invoice Hong Kong Dollar;2020-12-06T01:17:41
6;true;open-source Home Loan Account;2020-12-06T06:31:50
7;false;Malaysian Ringgit;2020-12-06T09:23:27
8;true;calculating Credit Card Account Fish;2020-12-05T13:53:16
9;true;Chair hard drive virtual;2020-12-05T19:24:51
10;false;best-of-breed Oklahoma;2020-12-05T19:44:04
